animal,pronoun,response,age,gender
pig,it,it quenched its thirst but noticed a strange taste in the water.,30s,
dog,it,"the dog stopped abruptly. There was the river in all its majesty, its smells, its sounds, too deep to cross. ""Now what?"" it thought, ""I must tell my human.""",50s,male
mouse,,"the mouse peered into the river, amused by its ability to flow without stopping. “Doesn’t it tire? Doesn’t it sleep? Doesn’t it ever take break?” The mouse wondered. ",20s,female
dog,he,"he was met with another dog, who also, like him desired a yummy sip of water. The other dog asked his name. ‘None of your business’ dog replied.",20s,female
bear,he,"the water lapped up on his paws, and he sighed in relief.",20s,female
mouse,he,"he took a sip from the cool, refreshing stream. And then he fell in and washed away with the tide.",20s,female
rabbit,,"there was no river, it had been turnes into a highway.",20s,male
rabbit,he,he saw that every other animal from the forest had had the same idea. They were all there together to look for the same treasure.,20s,female
pig,he,He sat there and stared at the sunset,,
cat,he,"the cat surveyed the riverbank. ""I am needed here,"" the cat thought. And so he got to work.",30s,male
mouse,she,She found that her fish friend was not there,20s,
mouse,it,"the mouse swam downstream to the mill of the cheese farm. Once there, it waited for hours until it was dark enough to sneak into it and have a feast. ",40s,male
dog,he,"he walked by the shores, looking into the water. He saw fish swimming through the reeds, and little crayfish hiding in the rocks. This was a good place to cool down. ",u20,female
rabbit,she,"the rabbit surveyed the river, both upstream and downstream. The little boat hadn’t passed by yet, but that was good. She would have time to prepare.",30s,male
cat,,The cat went into the water and caught a fish.,20s,non-binary
bird,he,the bird saw his wife bird making out with his bird best friend. But it is ok because they are birds.,,
mouse,,The mouse jumped in the river and swam across.,20s,female
bird,,the bird ate a bug that was sitting on a lily pad,40s,female
mouse,,the mouse took a sip of water.,20s,female
mouse,it,"it burrowed deep into the shoreline sand, took a nap. It woke up and descended to the river’s edge for some sips of freshwater, then went back to its nook to nap some more. ",20s,female
bird,he,"he immediately started looking around for the child. The footprints were going towards the direction of the cliff. Could it be possible, influenced by the bird, the child was also trying to fly. ",20s,female
mouse,,"The mouse looked at the water flowing. The mouse was nervous, but somehow content.",30s,male
bear,he,"the bear first drank some water, as the journey to the river was long. He was nervous to be back, but remain strong in his quest. ",30s,male
bear,he,"He finally let It go of any resemblance to this cold, Always serious and unnecessary aspect of human, and got back to be happy-filled, blessed entity in bear shape",,
pig,she,"She took out her fishing rod, but was unsuccessful in catching anything. ",30s,na
rabbit,,"The rabbit followed the river to its bend and began digging. After a few moments, the rabbit went down into the hole and revealed a cache of food that had been hidden last season. ",30s,female
bird,she,"The bird looked everywhere for her babies, but she could not find them. Distraught, she returned to her nest to find the exhausted babies sleeping soundly after their big adventure.",,
pig,he,"he took a long look at the surface, wrinkled his snout, and belly flopped into the cool water. And he was content.",30s,male
rabbit,,"the rabbit looked around and saw that the river had risen considerably. Crikey, the rabbit explained - i guess i know where all the rain went.",,
dog,,"do you mean who let the dog out? who who
who
who who? ",20s,male
cat,it,"the cat searched for a way through. It spotted a couple of rocks jutting out of the water, and expertly navigated across to the other side.",20s,female
rabbit,he,he took off his shoes and dipped his paws in the water,30s,female
dog,,the dog took a bath.,,
pig,he,He drank.,30s,male
cat,it,It looked down at its reflection in the water and sat in quiet contemplation.,,
pig,he,he did a backflip,,
bird,it,"...it circled above, then sat on a branch by the water. After a while, it flew off, as the river had nothing for it.",20s,female
rabbit,it,the rabbit jumped into the water. It cooled off from the scorching heat in the water. The now refreshed rabbit hopped under the shade of a large oak tree for a nap.,20s,male
cat,,"the cat pawed the water searching for a fish to catch. Suddenly, a strong gush of water swept up the cat and pulled it into the rapids. Panicked, the cat paddled and yowled for help...",20s,male
pig,he,"the pig took his hooves out of his blue rain boots and dipped them into the water. The river seemed to invoke a unique clarity for him, and he’d always wandered back to it in times of turmoil. He thought about how much he loved Ms. Pig, and how much he’d miss her; he thought about it until the river went cold, and he could no longer see its green hue. ",20s,female
bear,he,"he dived for the fish in the stream, catching one by one before taking a break and diving under again. ",u20,non-binary
pig,,the pig found no river. Everything is gone. The pig is stunned.,30s,female
rabbit,they,"the rabbit waited patiently. Looking around the space, as if hoping someone would meet them there. After several months of waiting, a smile appeared on the rabbit's face.",30s,female
bird,she,She sang a beautiful melody to the river creatures!,20s,female
pig,he,"he drank all the water out of the river. He then went on to become the ruler of the country, controlling it's only water source, which was now wholly stored in his belly.",u20,male
bear,he,"got back on the raft and floated back down the river, while soaking in the sunshine and dipping his paw in a jar of honey.",,
cat,she,"she stuck her paw in the water to catch a fish. The fish were too big for her tiny paws, however, and a particularly heft salmon laughed and said, ""Better luck next time kitty.""",20s,female
rabbit,he,"A fish appeared near the river bank and requested assistance from the rabbit. From the river, the fish noticed that the rabbit was carrying a carrot that looked just like the one in his dreams. The fish was desperate to look at the carrot because in the dream, this carrot gave the fish extraordinary powers — powers to rule the entire animal kingdom.",30s,male
bear,he,The bear went for a swim. The bear sated his hunger with some fish,,
pig,he,"he found that his friends the cow and the chicken were already at the river. They all rejoiced at this coincidence, and threw a party. ",20s,female
cat,she,"she lay close to the water on her belly and watched as she began to recognize her reflection. “I’m… no cat,” she whispered slowly. She lifted her hand to feel her long, voluminous curls.",20s,female
dog,,the quick brown dog jumped over the lazy fox.,,
mouse,he,"he lapped up some water. “Finally,” he said. ",20s,female
dog,she,the dog washed her paws. She sniffed the water for fish.,30s,female
dog,he,"he bolted into the river and splashed around - inviting the human to join him. In that moment, all their worries ceased to exist! ",20s,female
bird,he,"he flew down to the bank of the river and dipped his beak in the water, taking a refreshing sip.",u20,female
dog,she,"the dog scanned for the target whose scent had wafted into her top priority just moments before. Looking this way and that, she spotted a faint rustle in the riverbank brush that confirmed her suspicions. Without hesitation she bolted straight at it, setting off a chain of honks, yelps, and ruffled feathers.",20s,
rabbit,she,To her nest,,
bird,,the bird gained 20 points for crashing into the pig that had been bathing in the river.,,
bear,he,"the bear caught a yummy salmon and enjoyed this diner, while sitting in the eventing sun. After this, he burped and did a little nap.",,
pig,he,he submerged himself in water. The cold water felt refreshing and made all his bristles stand up.,20s,female
cat,she,"The cat cringed at the water until a shiny fish caught her eye. She watched it swim, she wondered if she could catch it.",30s,female
bear,he,He stuck his head into the rushing water and grabbed a fish. He couldn’t believe how beautiful it was. Knowing the importance of beauty in the modern age the bear let the fish back into the water to preserve its beauty.,u20,female
bird,it,"the bird looked for its friend, but it was nowhere to be found.",20s,female
bear,he,"he sat upon a rock, surveying the river below him. At last he saw a salmon and launched at it. A fine meal for a bear.",30s,male
mouse,he,"and there wash myself, that the tidings of his dissolution may be carried away from me",20s,self
cat,,The cat just finished breakfast,20s,female
bear,he,He hunted for salmon.,60+,male
bird,,"the bird found a crocodile sitting in the middle of the river. ""You're late,"" said the crocodile.",30s,male
dog,she,she swam upstream.,30s,female
dog,he,The dog peed into the river and turned around for his journey home.,30s,male
dog,it,the dog following its sense of smell and jumped in the river. It swam looking for its toy.,20s,female
dog,it,"It curled up on its two front legs, transforming into a leprechaun and splished and splashed and sploshed its way into the river, humming a jolly Irish jig",20s,female
dog,,"the dog stared wistfully at the water. This was not the same river, nor was it the same dog. ",20s,male
pig,he,"There he found the love of his live, Bertha. He rushed to her but it was too late. She jumped.",40s,male
cat,it,it heard a rustling sound in the underbrush and froze.,,
rabbit,it,"the rabbit slowly gathered stones and large sticks, building a bridge inch by inch. A beaver traveling by stopped to help, sharing its knowledge of dam building. Together they made it possible for the rabbit to cross the treacherous waters back to its den.",30s,non-binary
bear,he,"the bear waded into the water. With a swipe from his giant forepaw, he swept a fish for his dinner onto the bank.",60+,male
mouse,,the mouse drank deeply from the cool water.,,
bird,he,he perched himself on one of the pine trees and observed the grizzly bears feasting on fresh salmon. All he had to do was wait for an opportunity to steal a little piece of fish when the bears weren’t watching and he’d be fed for a full week at least. And then he’d finally have time to work on finding a solution to climate change.,30s,female
mouse,he,"the mouse appreciated his surroundings. Looking around, he took in the sparkling waters and smooth rocks glinting below the surface. He approached the edge, dipping a paw in and feeling the cool currents circulate past him. ",30s,male
cat,,the cat tried to catch some fish for dinner.,30s,female
pig,,"I am all dirty now from the river water, need to go roll in mud.",20s,
dog,she,"She took a drink, turned around, and walked home. ",,
bear,he,"He spotted some salmon swimming, so he waded in and started fishing",,
pig,,The pig wobbled over to the riverbank and spotted a crowd by the tall grass. Everyone was muttering about the unusual heat. Sweat beads fell through everyone’s brows despite the brief shady respite.,30s,male
cat,it,"it swam and swam and swam, until it reached the shore of Bungalomeetangotte.",60+,male
pig,it,"the pig swam in the water, cooling its body and enjoying the day.",20s,non-binary
rabbit,he,"the rabbit looked around to find a nice place to shelter. He found a bush with some berries, dug a shallow hole, and fell asleep to the sound of rushing water while waiting for his friends. ",20s,female
mouse,he,"he worried about bathing as the water was murky and the banks were bustling with other mice sunbathing.

What if they saw he had recently transitioned , that he couldn't swim very well, or even worse, heard him humming along to Guns n Roses?",,
bird,it,"Is this a test to see if people notice that the sentence said bear in your instagram story and it says bird in the sentence at this link? If not, here is my sentence: 
The bird chirped to see if its friends were there.",20s,female
bear,he,he swam and fished to get his next meal.,20s,female
bird,he,He landed near the shore,,
bird,he,"the bird found his car keys, and his six week journey finally came to a satisfying conclusion.",40s,male
rabbit,it,it waded into the water and plunged itself under with a large splash.,,
dog,it,it took a shit and then waded into the water.,,
dog,,The dog met up with the local fish and they enjoyed a cup of tea with biscuits on the side,20s,female
dog,it,the dog realized it could talk! And then realized it was good at sports so it joined the local CYO basketball team and dominated and is now featured in a series of movies we know as Air Bud.,30s,male
bird,it,the bird stared and its own reflection in awe.,20s,female
pig,he,"The pig looked into the water, admired it's reflection, and jumped in. There, he splashed around with his pig friends, while all the mud and dirt washed off of him. ",20s,female
pig,it,"The pig cleansed itself of all the mud from its wonderful little sty. Immediately, it felt the heat of the day start to take its toll on the pig’s body. The pig vowed then and there never to let the other animals bully it about being muddy, for the mud has a purpose just for pigs. ",30s,female
bird,it,it went to the river.,20s,male
bear,he,"He said, “damn this is nice river!”",30s,male
pig,,"The pig enjoyed the water, bathing and relaxing. The pig lamented that few other animals or humans have the intellectual capacity to use the simple, luxurious joy of bathing in the river to reflect on the nature of existence and revel in its wonders. Instead, they seem to prefer bacon. ",30s,female
mouse,,the mouse held a picnic of soft cheeses.,20s,male
mouse,he,"the mouse started swimming, looking for his ball all over the place.",20s,female
mouse,he,He found a suitable leaf to use as a raft to float downstream.,u20,female
bear,he,He fished in the stream,40s,female
cat,he,"The cat settled on the river banks, looking for fish. He waited for the right moment to strike, basking in the sun. ",30s,female
pig,it,The pig thought it was too hot and went back.,20s,female
dog,he,"he realizes that the river has run dry, due to melted glaciers and no rain for months. But still, the river was broad enough to hold back the fire he was running away from. So he walked to the other side and hoped that he was safe.",40s,male
bird,,the bird met up with the duck and they had a nice chat.,20s,female
bear,he,"The other animals were surprised that the bear had learned to speak English, and viewed him with great suspicion. ",40s,male
mouse,he,"he jumped into the water to cool off. ""This is exactly what I needed,"" he mused.",20s,non-binary
cat,she,"the sound of rushing water sent a wave of panic down her spine as she stood on the sandy bank. Frozen by fear, the newly conscious cat was unable to rationalize her behavior. She was unaware of the evolutionary history of felines and her innate aversion to wet fur. ",30s,female
cat,he,He took his oars and put them on the doc.,u20,self
bear,he,"he knelt down to the waters edge. Cupping is paws, he scooped water into his hands and splashed his face.  The run of water was red with blood from his recent kill. ",u20,female
rabbit,he,He went down to take a drink. A fish came up from below the surface to greet him.,30s,female
mouse,he,"His partner keyboard was concerned the mouse would jump and drag him in the water too… The keyboard eyed the mouse warily, “And what exactly do you expect to find there?”
The mouse sighed, “A reflection that isn’t just a cursor blinking back at me.”",40s,self
mouse,he,"the mouse slipped off his pea-sized sneakers, set them on a dry rock, and waded into the water. Unfortunately for the mouse, a piranha was lurking just under the surface and snatched him up by the tail, thrashed around until the mouse passed out, and ate it. ",20s,female
dog,he,he jumped into the river,40s,male
mouse,,the mouse met a tall man.,u20,female
pig,,The pig drank from the river.,20s,male
mouse,,"the mouse surveyed the bank for immediate danger, drew a deep breath, and scrambled headfirst into the murky water. ",,
pig,he,He met up with his pig friends and sunbathed in the mud along the shore.,40s,female
rabbit,,"the rabbit was faced with a series of unfortunate events. A bear was bathing in the water, a human hiding in the bushes nearby and a third creature was growling. ",30s,female
bird,,...the bird took a sip of water from the river.,40s,female
bear,he,the bear looked across the river and wondered how he’d get to the other side!,30s,male
mouse,,"The mouse said, “I must find a bridge.”",30s,male
bird,,"the bird took a drink. Thirst quenched, the bird then met up with friends for a different kind of drink.",20s,female
dog,it,The dog met its friends. They had a picnic by the river :),20s,female
bear,he,he hopped in and tried to swim against the current. The fish laughed at his lack of coordination in the water.,20s,female
bear,he,The river was dry so he pooped and left.,20s,male
bird,they,"they asked the ferryman for a ride to the other bank. The man asked the bird, “Why can’t you just fly across?” And the bird answered, “I’m an ostrich.”",20s,male
pig,it,"It waded in the low tide, bathing in the flats mud until the tide came in and it drowned.",,
dog,she,"she returned to her litter of pups, mewling with hunger. As she rested her weary body, they crowded around her, curling up against her solid warmth. ",20s,female
pig,it,"it said, “now where did I put my pocket watch?” ",40s,male
rabbit,he,the rabbit decided to have a picnic by the river. He set up a picnic blanket with his food and ate peacefully.,20s,female
dog,he,"The dog drank from the river. Looking up, he smiled and splashed into the water starting to play. ",30s,female
mouse,she,"She put on her bathing suit, and put her floaty on the water. Then she sat on it and floated down the river. Then she met her friend Olivia Otter, who was sitting in the sun. ",40s,female
mouse,he,he did a little dance and wiped his feet on a leaf.,20s,non-binary
pig,,To float and bask in the summer rays as the wind flutters past my ears,30s,female
dog,,"the dog saw a fish. “Glug blub blug,” the fish said. ",,female
bird,,"the bird followed the fish down the stream and came across an old rope swing. The rope was tattered, but the bird swung into the river with a big smile and a splash! ",20s,female
rabbit,it,"The rabbit splashed in the river, where it let the cold water cover its coat. ",20s,female
cat,,the bear lapped up a mouthful of fresh river water and caught three fish.,30s,female
bear,he,he looked for salmon.,40s,female
pig,he,"the pig sniffed and took a long drink of water as the fish waited. Finally, the pig was ready to ask the fish his question. ",20s,female
bear,he,"he spun around like a ballerina, dipped his paws in the rive, and caught the most beautiful pink salmon.",20s,female
mouse,,the mouse crossed the river in a boat.,20s,female
bear,he,"he looked into the still water, pondering his reflection. ",30s,female
dog,he,"he jumped right into the river, splashing around and creating ripples in the sun.",20s,female
pig,,The pig drank some water and swam around.,30s,female
mouse,he,"the mouse scampered down the riverbank and began to swim. He had a very important mission to complete, and to do so, he had to cross the river and find his fate on the other side. ",30s,female
bird,it,"Upon arriving, the bird settled by the side of the water to wait. As the bird watched, fish swam rapidly by, weaving in and out of the currents. Finally, the bird spotted a target and readied itself to dive. ",20s,female
pig,,"I the pig said, I am playing in the mud when I get home.",,
bear,he,He ate a fish,40s,female
bear,he,he took a bath,20s,male
mouse,it,"it decided to swim to the other side. Unfortunately the river's current was too strong, and the mouse got swept a",30s,female
bird,it,"It drank some water, took a quick dip to clean it's feathers, and showed it's peers the magic of peace ",,
cat,she,"She filled up her bucket with water, and walked 5 miles back to her kittens to make sure they were all hydrated. ",40s,female
dog,he,"he jumped in with joy, splashing and swimming.Come in human, he said.",40s,female
bird,,"all the rats living in the sewer that dumped the toxic ooze into the lake scurried out to the riverbank to greet the bird. “Any news?” cried the giant rat. “Yes,” said the bird, “the beavers will be arriving in three days to plug up the sewer.”",,
cat,,the cat sat and asked what the fox said.,20s,male
rabbit,he,he jumped straight in and had a nice long bath. While bathing he's noticed a crocodile nearby. The two friends high-fived and enjoyed the bath together.,30s,male
dog,,"the dog took a look at the water, shrugged, and left.",30s,female
mouse,it,it fell in.,,
cat,he,"the cat sat down on the bank of the river and set down his pelican case. He opened up the box to reveal his trusty old fishing rod, one passed down through the generations, from his great-great-grandfather. He cast his line into the river and waited to catch his daily meal. ",20s,male
bird,it,"The bird chittered its beak, and dove in to swim among the darting fish, content in its existence.",30s,female
mouse,he,"he looked around, sniffed the air, and dreamt that he was at a river of cheese.",40s,female
dog,he,"the dog realised he had gone too far, and he couldn't ser his home. Before turning back, he saw a butterfly and started chasing it. And he never worried about coming back again - why, if he was already happy?",,
bear,he,he realized that the cut on his cheek had begun to bleed again. He cleaned it in the river and resigned himself to a sore jaw for a few days.,,
bird,,the bird sat down by the water and drank something.,20s,male
pig,it,"the pig met with its friend, the frog, with whom it discussed what had happened and what to do next.",20s,female
cat,,The cat stretched before taking a sip from the river.,20s,male
bird,,the bird found some twigs along the river bank and began building a nest.,,
pig,he,he splashed into the water and scrubbed himself clean.,,
mouse,he,"the mouse drank from the river and waited to meet his friend the otter. When the otter arrived and saw that the mouse was already getting impatient waiting for him, he immediately sped up and hurried over to greet the mouse. “Greetings Your Majesty, apologies for my lateness—I was caught up in a scuffle by the Great Oak.”, the otter hastily explained.",u20,female
cat,,The cat killed a mouse,30s,male
rabbit,she,"she sank her paws into the muddy sand at the edge of the riverbank, glanced behind her and sprung forward towards the water. Just below the surface was a flat stone, just high enough for her to perch on. The river rushed past her, and she watched, waited.",20s,female
dog,he,"The dog looked at the river, the ducks and the bees, the sunshine floating down to illuminate each leaf of each tree. ""nah I'd rather be inside"" the dog speaks, and then, returns, to his den.",,
cat,they,"remembered that they were not a bear. And on top of that remembered they were not human and could not speak English. However like a human, the cat proceeded to have an existential crisis.",u20,female
dog,,the dog threw up in the river.,u20,female
dog,,A couple was dancing to country music,,
bird,,The bird wake up,20s,female
dog,he,The dog looked up and down the river stream before sniffing and approaching closer. He looked at his silhouette on the water and then stepped back and started digging the ground.,20s,
mouse,,the mouse encountered a piece of cheese.,,
mouse,he,He washed his little face with his little hands,20s,female
rabbit,he,"he pulled his soap and loofah from his tote, and girded himself for a dip into the frigid waters. He eventually relaxed into enjoyment, with the cold rush becoming background noise to his first clean after the previous week’s massacre. “Commander Claude will not be happy with the mess we made,” the rabbit thought, cleaning memories of the battle from behind his floppy ears.",30s,male
cat,,The cat saw a fish wiggling inside the river,,
bear,he,the bear quickly entered the stream to collect his meal.,20s,female
dog,,"The dog found that the river wasn’t the safest place to be. It was nighttime, the water was murky and every once in a while, the dog saw some eyes pop out of the surface of the water. Night swimming was no longer on the dogs mind.",,
bear,he,"he leapt in, submerging himself in the cool swirling water.",40s,male
mouse,it,"the mouse looked for further clues. After a while of searching, it still came up empty and started looking for a way to cross. ""These stones will do!"".",30s,female
bear,he,"he began his hunt for salmon, his favorite meal.",,male
pig,,the pig bobbed for apples that a farmer had dropped into the river,u20,non-binary
mouse,he,"There was heavy rain, and some little kids fell into the river.  Some animals were discussing how to help them until a mouse came.  He watched the situation",30s,male
dog,he,"the dog jumped right in and swam with glee. “Summer truly is a delight,” he barked joyfully. ",30s,male
pig,,the pig swam across the river to the other side.,30s,female
bird,he,"He saw a large building with a nest on top. He wanted to fly to the building to meet the mother of the baby birds, but crashed into the window. ",,
bird,he,He tripped and fell in the river.,30s,male
mouse,,"The mouse came upon a candlelit picnic set up by the love of this life, and they dined under the moonlight together. ",30s,female
bird,he,"The merry band of animals got scared when they saw how rowdy the river was. But not to worry: the bird picked up the piglet and the mole, and flew over the river with his friends. ",30s,female
dog,he,The dog found his beloved cat drowning.,30s,female
mouse,he,"he went to the riverbank and dipped a toe in, only to realize the water was too cold and deep to cross safely.",,
bird,,"the bird whispered a wish, dropped the coin in the water, and did a triple backflip, just like the tortoise had said. That night it rained, and in the morning the ground was covered in earthworms. ""Rad."" said the bird.",30s,self
bear,he,"he scanned the bank, making sure it was safe and looking for berries. Then he dipped into the water, took a few sips, then scanned for fish.",40s,female
mouse,he,"he drank water, and bathed, and played.",20s,male
pig,,"…For I am thirsty. And so the pig went to the river, drank deep, and then contemplated the universe while relaxing by the bank.",40s,female
bird,it,it prayed for the lost souls left in the wake of the deforestation.,,female
bird,she,the bird washed her toes in the water and fanned out her wings,30s,female
cat,it,"it stretched in the sun, and waited patiently for fish. ",30s,male
bear,he,He gave himself a nice bath and got all of the mud out of his fur.,20s,female
bear,he,he started fishing for salmon.,20s,male
mouse,,the mouse spontaneously caught fire.,30s,male
dog,,The dog jumped in,,
cat,she,"she set up a tent a few yards away from the banks, between two trees.",,
cat,it,the cat concluded it hates rivers. it then grew wings and flew to burger king.,,
bird,,the bird found that the water was much too strong for fishing.,20s,female
cat,,"the ducks were already waiting there anxiously. ""You sure you wanna do this?"" The elder duck looked at the cat with piercing eyes.",40s,female
rabbit,they,"the rabbit began looking for the bear. They needed to find the bear with the pearl earrings in their ears. That bear, they reasoned, would provide the answer to their predicament. ",30s,non-binary
rabbit,he,"the rabbit saw a turtle crawling out of the river. He then thought a beat before saying: ""Huh. A turtle and rabbit. Kinda, kinda like...."" the rabbit began to say. But the turtle chuckled and finished the sentence: ""yeah, yeah, like tortoise and hare, ha, ha, ha. Ever rabbit says the same thing to me.""",30s,male
mouse,she,"the mouse saw that the Alfred, the cat, was already here. She hid behind the tree to spy on him.",20s,male
dog,,"the dog sat peacefully, watching the water sing by. ",30s,male
mouse,he,"The mouse took off it's clothes and got in the water. ""Finally a bath after all this time"", he thought, washing the last few months of dirt off his furr.",u20,male
bird,they,"the bird landed on a rock and thought about life. The bird reminisced about when life was simpler, thinking of their family and friends and how much things have changed since they were younger. The bird flew back home to their single bed and rested.",20s,female
bear,he,he opened his Bear Bar. The Forest Swim race had just begun and he had the best view of the finish line. It would get busy.,40s,female
dog,it,"The dog ate its own shit and giggled, making out with the dirt.",,
bear,he,he caught a salmon and fried it up for dinner.,30s,female
dog,he,the dog saw a mare bathing in the fiery river. “And what brought you to the Styx?” he asked.,20s,male
cat,he,"They dipped a small part of their paw in the river. And then some more of it, until it's entire leg was underwater. The cat was determined to get over his fear of the water. ",20s,female
dog,he,"The dog meets with his so-called beloved that lurks in the river eternally. It seems to be a monster created of green slimy seaweed with blood red eyes and a horrid stench. He says ""Hey baby girl, ready for round 2 tonight?""",,male
rabbit,it,"the rabbit dipped its paws into the cool water and took a long drink. The setting sun cast golden ripples across the surface as the rabbit's reflection stared back, reminding it of the journey home ahead.",20s,male
bear,he,"Bear discovered the river where he usually ate his salmon no longer flowed like it should because the humans had decided they needed a dam. They were always ruining things. Not one to be cowed by a setback, Bear lumbered to the nearest town and found some tasty morsels on the school playground.",30s,female
bird,it,"it shed its weary shoes and looked at its reflection in the ebbing water. ""How could I possibly be anywhere other than here, at peace with myself?"" it remarked in its stalwart chirp.",u20,male
bird,,The bird saw a delicious fish,30s,female
dog,it,"it looked at the rushing water and knew the only way back was to drag the disregarded human canoe to the bank, give it a shove and hop on for a ride back to fight the civilisation of overload hamsters. Knowing what it now knew, the dog could see a chance of victory ",,
bear,he,"the river had completely dried up. The bear sat down and wondered what happened to it, the river being his favourite place.",,
dog,she,"the dog turned around and said, “there is no water here.” And so, the dog trotted, skipped, and leapt along her merry way, in search of water once more. ",20s,female
mouse,it,it looked around for a small fallen branch nestled around the many pebbles. It leapt up on it and pushed it into the river. The mouse and the rickety branch its paws held were now under the whims of the powerful rapids.,u20,male
bird,,the bird drank from the river.,,
dog,it,it wondered why it wanted to go there in the first place. Since when do dogs experience obligations?,40s,male
pig,she,she stripped down to her bathing suit and jumped in! Floating down the river in her inner tube she drank and ate and was merry. The End!,20s,male
pig,he,"the pig drank from the river. Looking at his image in the water, he noticed that he was covered in mud and jumped in for a quick bath. He then lounged by the river to dry off and take a nap.",50s,male
bear,he,he basked on the shore.,40s,female
bear,he,He fished.,20s,female
bear,he,"He waddled up to the water and leaned in to take a drink. It was cold. Then, he saw a fish a bit further out.",,
pig,he,he realized the river was dry. The draught had gotten worse and impacted the river already.,,
pig,he,"Upon arriving, the pig waddled into the river and rinsed off the mud. Now he was clean and ready for the big day. ",50s,male
bear,he,the bear called his mom,na,na
mouse,he,"he sat along the bank and whistled a tune. Oh, what a pleasant evening. ",20s,male
cat,she,"the cat licked the water and thought it was very clean. Then the cat licked herself and purred softly. The river goddess suddenly appeared a few steps away, sitting on the riverbank.",40s,male
rabbit,he,The rabbit packed his swim trunks and bad of carrots,,
bird,he,he saw everyone was already there.,30s,male
dog,she,"the pup, tail wagging, waded in chest deep and tugged and tugged at the fallen branch upon which the baby robin was stranded until it came free. Gently carrying her victory out of the water, she laid down the branch and woofed to the robin's now-calm parents that their babe was safe. ",60+,female
bear,he,"he realised he forgot his phone home or maybe on the bus. This is when panic shot through him, not because he had an expensive phone but because he just reached level 6000 on Candy Crush and now he had to start all over. As he calmed down he started to retrace his steps...",30s,na
pig,,the pig rolled into the river to wash off all the mud.,,
rabbit,,the rabbit walked out onto the dock and waited for the ferry to arrive.,50s,female
pig,he,He drank from the river.,30s,female
dog,he,"the dog dropped into the water the small charm he held in its mouth, as its periodic contact with water was key to the dog’s continuous ability to speak. 

Then it looked closer at the rocks and how a couple of them had clearly been dislodged recently: now it was finally clear who the murderer was!",50s,male
